category,company,description,experience_level,job_type,location,posted_date,salary,title,url
N/A,GARMA LTD,"Responsable de missions (normes françaises) Plaine Wilhems Negotiable Permanent Added 24/02/2026 Closing 24/03/2026 Rudy Avril Login to apply Responsable de missions (normes françaises) 🔎 Perspectives d'évolution au sein d'un société en pleine croissance !📍 Poste : Responsable de missions (normes françaises)Au sein d'une jeune société, vous serez chargé(e), en lien direct avec l'expert-comptable, d'assurer la conformité de la production, l'encadrement de futurs collaborateurs et la qualité des travaux exécutés, tout en garantissant la fiabilité des données et le respect rigoureux des normes professionnelles et déontogiques applicables aux missions confiées.Force de proposition et doté(e) d'un véritable esprit entrepreneurial, vous êtes impliqué(e) et motivé(e) et vous avez déjà fait preuve de solides capacités d'analyse et de synthèse dans un environnement exigeant et dynamique. 🎯 Vos missions :Gestion complète des missions de tenue : saisie comptable récurrente et courante, lettrage d",,,,,,Responsable de missions (normes françaises),https://www.myjob.mu/Jobs/Responsable-de-missions-normes-fran%C3%A7aises-207130.aspx
N/A,NSI Office,"Téléprospecteur BtoB (H/F) – Marché France – CDI Port Louis 21,000 - 30,000 Permanent Added 25/02/2026 Closing 27/03/2026 HR Manager Login to apply NSI GROUPE renforce son équipe Sales Development à l’Île Maurice afin d’accélérer son développement commercial sur le marché français. Nous recherchons un Téléprospecteur BtoB (H/F) orienté performance et détection d’opportunités, prêt à contribuer activement à notre croissance en France. Vous souhaitez rejoindre une entreprise dynamique en hyper croissance ?NSI GROUPE renforce son équipe Sales Development à l'Île Maurice afin d'accélérer son développement commercial sur le marché français.Nous recherchons un Téléprospecteur BtoB (H/F) orienté performance et détection d'opportunités, prêt à contribuer activement à notre croissance en France.Votre missionEn tant que véritable chasseur, vous êtes en charge de la prospection BtoB sur le marché français afin d'identifier des opportunités stratégiques et de générer des rendez-vous qualifiés pour",,,,,Not specified,Téléprospecteur BtoB (H/F) – Marché France –  CDI,https://www.myjob.mu/Jobs/Teleprospecteur-BtoB-H-F-Marche-207183.aspx
N/A,NSI Office,"Team Leader Téléprospection (H/F) – Marché France – CDI Port Louis 31,000 - 40,000 Permanent Added 25/02/2026 Closing 27/03/2026 HR Manager Login to apply Véritable relais opérationnel local, vous travaillez en lien direct avec le management commercial basé en France. Manager, structurer et optimiser l’activité de prospection BtoB afin de garantir la performance, la qualité des rendez-vous générés et la montée en compétences de l’équipe. Vous souhaitez rejoindre une entreprise dynamique en forte croissance et jouer un rôle clé dans la performance commerciale ? NSI GROUPE structure son entité Sales Development à l'Île Maurice et recrute un Team Leader Téléprospection pour encadrer une équipe de commerciaux sédentaires et piloter la performance sur le marché français.Véritable relais opérationnel local, vous travaillez en lien direct avec la direction commerciale basée en France. Votre missionManager, structurer et optimiser l'activité de prospection BtoB afin de garantir la performance,",,,,,Not specified,Team Leader Téléprospection (H/F) – Marché France –  CDI,https://www.myjob.mu/Jobs/Team-Leader-Teleprospection-H-F-207186.aspx
N/A,undisclosed,"Repair Technician Mauritius Negotiable Permanent Added 25/02/2026 Closing 27/03/2026 Login to apply We are looking for a skilled and reliable Repair Technician to diagnose, repair, and maintain household appliances and electronic devices Job Title: Repair TechnicianJob Summary: We are looking for a skilled and reliable Repair Technician to diagnose, repair, and maintain household appliances and electronic devices. The ideal candidate will have hands-on experience with electrical and electronic systems and a strong commitment to quality service.Key Responsibilities:Diagnose faults in household appliances and electronic devices.Repair, replace, or service defective components.Perform routine maintenance to ensure optimal device performance.Provide accurate service reports and communicate repair status to customers.Maintain a safe and organized workspace and follow company safety standards.Requirements:Proven experience as an appliance/electronics repair technician or similar role.Knowled",,,,,,Repair Technician,https://www.myjob.mu/Jobs/Repair-Technician-207194.aspx
N/A,Ninety – Six Hotel Collection,"Multimedia Specialist Port Louis Negotiable Permanent Added 25/02/2026 Closing 09/03/2026 Savina Jeewooth Login to apply Design and produce high-quality visual materials including menus, advertisements, and marketing assets Create and produce high-quality photo, video, and multimedia content to promote hotels, restaurants, and guest experiencesDesign and produce high-quality visual materials including menus, advertisements, and marketing assetsPlan, shoot, and edit visual content for branding, social media, websites, and digital marketing campaignsProduce promotional photos and videos showcasing rooms, food and beverage outlets, events, and special offersDesign visual assets for social media, digital campaigns, newsletters, in-house screens, and printed marketing collateralSupport marketing, PR, and events teams with creative concepts and on-site content coverageAssist in managing social media content by scheduling, publishing, and optimizing posts across multiple platformsOrganize, ma",,,,,,Multimedia Specialist,https://www.myjob.mu/Jobs/Multimedia-Specialist-207195.aspx
N/A,Northfields International School,"English Teacher Pamplemousses 51,000 - 75,000 Permanent Added 26/02/2026 Closing 26/03/2026 Subhashini Leckram Apply Now We are seeking a passionate and dedicated English Teacher to join our team in the next academic year, starting in August 2026. KEY RESPONSIBILITIESTeaching English as a Second Language to students from Year 7 to Year 11Plan and deliver lessons with clear objectives and assessments.Set challenging tasks to maintain interest and build on prior attainment.Cater to individual student needs and maintain lesson structure, pace and motivation.Use diverse teaching methods, including questioning, resource selection and study skill development.Ensure effective use of time, assessments and school policies on discipline, behaviour and homework.Contribute to curriculum development with clear targets and success criteria.Act as class tutor, supporting the progress and well-being of students.Register attendance, encourage participation and address individual student concerns.Prepar",,,,,Not specified,English Teacher,https://www.myjob.mu/Jobs/English-Teacher-207196.aspx
N/A,Veranda Palmar Beach Hotel,"Bartender Flacq 10,000 - 20,000 Permanent Added 26/02/2026 Closing 28/03/2026 Nasreen Serajuddy Login to apply The responsibilities include verifying age requirements, knowing alcohol pairing and tastes, knowing how to make traditional and classy drinks, processing payments, managing inventory and cleaning bar supplies. The responsibilities include verifying age requirements, knowing alcohol pairing and tastes, knowing how to make traditional and classy drinks, processing payments, managing inventory and cleaning bar supplies. Login to apply Report This Job",,,,,Not specified,Bartender,https://www.myjob.mu/Jobs/Bartender-207197.aspx
N/A,Veranda Palmar Beach Hotel,"Waiter Flacq Negotiable Permanent Added 26/02/2026 Closing 28/03/2026 Login to apply Serve food and beverages in F&amp;B outlets for consumption by guests as per standards 1Take part in training and implement accordingly2Assist in training and motivating subordinates for which he/she is responsible3Be aware about the weekly/ monthly roster and abide to it4Ensure an efficient and high quality service to guests5Report customer complaints efficiently to his/her superior6Participate in Eco standard/sustainable responsibility set by the hotel7Present bill to guests and ensure that they are signed or paid and post same in WINhms8Ensure that all items ordered from the store are collected on a daily basis9Minimize wastage10Ensure energy saving (electricity, gas, water)11Attend daily briefings in his/her department and follow instructions from superiors concerning the daily planning of the outlet that he/she is assigned to work for12Follow-up of all procedures13Answer queries about all items on",,,,,,Waiter,https://www.myjob.mu/Jobs/Waiter-207198.aspx
N/A,Veranda Palmar Beach Hotel,"Porter/Driver Flacq Negotiable Permanent Added 26/02/2026 Closing 28/03/2026 Nasreen Serajuddy Login to apply Offer to guests (internal &amp; external) a friendly, efficient and effective service at all times, in line with SOPs Pick up luggage from rooms upon departure and bid farewell to GuestsEnsure that luggage are well tagged and delivered in allocated rooms Ensure that luggage are well identified while placing in departure lounge/carFetch and distribute incoming and outgoing internal messages/parcels to Guests within 15 minutesEnsure effective and efficient car / shuttle service Drop and fetch Guests as and when requiredEnsure cold towel &amp; cocktail service upon Guest arrivalEnsure having good knowledge of Geography of the Island Upsell outings/excursions to Guests Ensure efficient use of materials to minimise costsFollow up of Vouchers from taxi service Ensure hotels’ vehicles are properly maintained parked and in good running conditionInform Superior shall there be any damage",,,,,,Porter/Driver,https://www.myjob.mu/Jobs/Porter-Driver-207199.aspx
N/A,IDECO (Hardy Henry Group),"Accounts Officer (6-Month Contract) Port Louis Negotiable Temporary / Contract Added 26/02/2026 Closing 28/03/2026 Login to apply IDECO Ltd is seeking a dynamic and detail-oriented Accounts Officer to join our Finance team on a 6-month contract. The selected candidate will support the department in ensuring accurate and timely processing of supplier invoices and payments. 🔹 Key Responsibilities:Banking transactions and bank reconciliationsProcessing supplier payments (cheques, bank transfers, online payments)Issuing receipt vouchers for all financial transactionsCollecting, recording, and reconciling cash receiptsPetty cash preparation, monitoring, and reconciliationPreparation and submission of VAT ReturnsAssisting with product costing and cost analysisMonitoring expenses and ensuring proper cost allocationMaintaining proper accounting records and supporting documentationAssisting with month-end closing proceduresEnsuring compliance with company financial policies and procedures🔹 Requ",,,,,,Accounts Officer (6-Month Contract),https://www.myjob.mu/Jobs/Accounts-Officer-6-Month-Contract-207200.aspx
N/A,LUX* Grand Gaube,"Front Office Assistant Pamplemousses Not disclosed Permanent Added 13/02/2026 Closing 01/03/2026 Niresh Virasami Login to apply LUX* Resorts &amp; Hotels is hiring for the position of Front Office Assistant for LUX* Grand Gaube. Reporting to the Front Office Manager, the successful applicant be responsible to: 1) Welcome, greet, answer and handle queries of all Guests in a professional manner. 2) Provide excellent service, assistance and guidance courteously to the Guests as per the LUX* Resorts &amp; Hotels policies and procedures at all times. 3) Promote all the facilities and services offered at the resort. 4) Be proactive and have knowledge on pre-arrival planning for appropriate Guest recognition. 5) Assist in handling Guest compaints and queries in a professional and courteous manner. 6) Take care of Guests from their arrival through to their departure. 7) Contribute to Guest satisfaction at all times by providing high quality services throughout their stay. 8) Coordinate the arr",,,,,Not specified,Front Office Assistant,https://www.myjob.mu/Jobs/Front-Office-Assistant-206565.aspx
N/A,The General Construction Company Limited,"Sustainability &amp; Environment Coordinator Mauritius Negotiable Permanent Added 26/02/2026 Closing 28/03/2026 HR Team Login to apply The General Construction Company Ltd is strengthening its environmental performance across projects and operations. 🌱 The General Construction Company Ltd is strengthening its environmental performance across projects and operations. 🌱Our priority is clear:structure our environmental processes,improve waste traceability,build a credible carbon baseline,ensure robust compliance on certified projects.We are looking for a pragmatic, technically grounded professional who can help us move from intention to structured implementation.As Sustainability &amp; Environmental Coordinator, you will support the operational integration of environmental standards across our sites and corporate processes.You will work closely with project teams, procurement, and management to ensure that sustainability objectives are measurable, realistic, and embedded into our daily op",,,,,,Sustainability & Environment Coordinator,https://www.myjob.mu/Jobs/Sustainability-Environment-Coordinator-207201.aspx
N/A,undisclosed,"Assistant Finance Manager Mauritius Negotiable Permanent Added 26/02/2026 Closing 10/03/2026 Login to apply An established insurance broker in Mauritius, is looking to strengthen its Finance team and is currently looking for an Assistant Finance Manager to join us. Job Purpose:To support the Finance Manager in maintaining accurate finances, disciplined budgeting, strong controls, and full compliance as well as oversees financial operations, leads finance staff, manages assigned budgets, and supports key decisions, risk management, and organisational performance. Main dutiesFinancial Reporting &amp; ControlsOversee the integrity of accounting records, general ledger, and financial schedules.Review and validate monthly management accounts, reconciliations, and journals prior to submission.Monitor financial risks and recommend mitigation measures.Budgeting &amp; Financial PerformanceCoordinate the preparation of annual budgets and periodic forecasts.Own and manage designated operational b",,,,,,Assistant Finance Manager,https://www.myjob.mu/Jobs/Assistant-Finance-Manager-207202.aspx
N/A,ER Hospitality,"Group Head of Finance Riviere du Rempart Not disclosed Permanent Added 26/02/2026 Closing 28/03/2026 Apply Now We are seeking an experienced and strategic Group Head of Finance to lead and oversee the financial operations of our organization across all business units. Overview of the role:This role provides strategic and operational leadership to the Group Finance function, acting as a key partner to the CFO in driving financial performance, governance and long-term value creation. It ensures the integrity, accuracy and timeliness of all financial reporting, strengthens internal controls, and oversees budgeting, forecasting and multi-year planning. The role also plays a critical part in supporting strategic initiatives, corporate transactions, funding needs and stakeholder communication, while developing a high-performing finance team capable of supporting the organisation’s growth ambitions across multiple business units. This position combines strong technical finance expertise with ",,,,,Not specified,Group Head of Finance,https://www.myjob.mu/Jobs/Group-Head-of-Finance-207203.aspx
N/A,The Lux Collective Ltd,"CHEFS DE PARTIE Riviere du Rempart Not disclosed Permanent Added 24/02/2026 Closing 26/02/2026 Login to apply The Lux Collective is hiring for the position of CHEFS DE PARTIE for our new outlet at Azuri. Join us for exciting opportunities at our brand-new Mediterranean restaurant in Azuri!We are launching a vibrant dining experience and are looking for ambitious, talented, and motivated Team Members.Kindly note that the advert is open to Mauritian Nationals exclusively.The Lux Collective is hiring for the position of CHEFS DE PARTIE for our new outlet at Azuri.The incumbent will be responsible to:Plan the smooth and efficient daily operations of the Kitchen areas. Actively participate in the setting up and preparation of food items. Ensure that high standards of quality service are delivered to Guests at all times. Prepare food by using the highest standards of food items in the preparation of all menu items. Comply with Food Safety Practices as well as comply with hygiene &amp; safety",,,,,Not specified,CHEFS DE PARTIE,https://www.myjob.mu/Jobs/CHEFS-DE-PARTIE-207055.aspx
